[00:00:00.389 --> 00:00:01.470]  Congress.
[00:47:29.023 --> 00:47:36.045]  The main danger raised by Zelig's proposals is that the future of American international economic policy
[00:47:36.685 --> 00:47:52.834]  Which affects not only our nation's prosperity, but its national security, will be set not by the American people and their elected representatives, but by a small corporate elite that is accountable to no one but itself.
[00:47:52.834 --> 00:47:57.896]  Effectively surrendering the sovereignty of the United States.
[00:47:57.896 --> 00:48:04.800]  And as justification for trusting those who would have the authority, the argument is made that free trade promotes democracy and the welfare of the people.
[00:48:05.632 --> 00:48:09.995]  But Lou, one has to look no further than China to see whether that, in fact, is true.
[00:48:09.995 --> 00:48:15.400]  You know, talking about Zoellick's proposal, it's not Zoellick's proposal, it's Daddy's proposal.
[00:48:15.400 --> 00:48:18.502]  And people better understand that they mean exactly what they're saying.
[00:48:18.502 --> 00:48:28.170]  It's a new world order they're trying to create, and they're trying to do so not only without approval or consent of the government in this country, but despite
[00:48:28.650 --> 00:48:30.531]  The popular will.
[00:48:30.531 --> 00:48:34.033]  This is a straightforward assault by the elitists in this country.
[00:48:34.033 --> 00:48:35.474]  And I appreciate it, Bill.
[00:48:35.474 --> 00:48:37.835]  Thanks very much, Bill Tucker.
[00:48:37.835 --> 00:48:39.616]  But it's the opposite of free market.
[00:48:39.616 --> 00:48:41.837]  You see, they keep saying it's about business.
[00:48:41.837 --> 00:48:43.017]  No, this isn't business.
[00:48:43.017 --> 00:48:44.918]  This is war.
[00:48:44.918 --> 00:48:55.944]  This is global corporations, bigger than most countries, getting together, coming in and rewriting our trade laws, so that any competition inside the nations is shut down.
[00:48:57.302 --> 00:48:58.822]  It's centrifugal.
[00:48:58.822 --> 00:49:03.824]  It's all there to consolidate wealth by hook or by crook.
[00:49:03.824 --> 00:49:07.484]  Then they say it's not Zelikow's, it's Daddy's.
[00:49:07.484 --> 00:49:08.605]  Daddy Bush is a puppet.
[00:49:08.605 --> 00:49:14.366]  It's not Daddy Bush, it's Daddy Rockefeller who's in partnership with Daddy Rothschild.
[00:49:14.366 --> 00:49:21.028]  And remember how they told you NAFTA and GATT would be so wonderful for the economy?
[00:49:21.028 --> 00:49:22.268]  Is the economy good today?
[00:49:22.268 --> 00:49:24.809]  No, it's not.
[00:49:24.809 --> 00:49:25.889]  We've gone from a nation
[00:49:26.641 --> 00:49:29.762]  The most wealthy nation in the world to a nation of debtors.
[00:49:29.762 --> 00:49:33.483]  A nation that grew its own food to a nation that doesn't grow its own food now.
[00:49:33.483 --> 00:49:34.883]  The majority of it.
[00:49:34.883 --> 00:49:41.025]  A nation that had the highest test scores to a nation that has the lowest test scores in the industrialized world.
[00:49:41.025 --> 00:49:43.386]  And the highest disease levels.
[00:49:43.386 --> 00:49:45.406]  And just the highest crime levels.
[00:49:45.406 --> 00:49:47.127]  And everything!
[00:49:47.127 --> 00:49:53.189]  Folks, they started waging war on the farmer 30-40 years ago, and they've destroyed the family farm.
[00:49:53.189 --> 00:49:54.729]  80 plus percent of them are shut down.
[00:49:55.413 --> 00:49:57.854]  They started waging war on the family.
[00:49:57.854 --> 00:50:00.395]  We had 10% illegitimacy 50 years ago.
[00:50:00.395 --> 00:50:02.155]  It's now over 50%.
[00:50:02.155 --> 00:50:04.256]  What they want, they get.
[00:50:04.256 --> 00:50:05.676]  Education is not a failure.
[00:50:05.676 --> 00:50:07.477]  They wanted to dial everybody down.
[00:50:07.477 --> 00:50:10.518]  They did a good job.
[00:50:10.518 --> 00:50:12.639]  The war on drugs has been a huge success.
[00:50:12.639 --> 00:50:15.439]  More drugs, more people in prison.
[00:50:15.439 --> 00:50:20.201]  I mean, once you just shift slightly your view on things, you can then, from an angle,
[00:50:21.770 --> 00:50:27.294]  You can then see both sides of it, and it's as clear as day.
[00:50:27.294 --> 00:50:31.276]  And under this new North American Union, you have no property rights.
[00:50:31.276 --> 00:50:38.301]  Why do you think they just have the Supreme Court rule, you don't have any property rights, and by the way, they don't even have to pay you for the land they take?
[00:50:38.301 --> 00:50:51.089]  It says in the ruling that private companies and individuals can, quote, lobby city, county, and state officials to take your land for their project.
[00:50:53.382 --> 00:50:56.845]  Supreme Court rulings saying they can bribe!
[00:50:56.845 --> 00:51:06.112]  Saying they can bribe!
[00:51:06.112 --> 00:51:08.994]  Think about that.
[00:51:08.994 --> 00:51:16.480]  They're building bribery into the law.
[00:51:16.480 --> 00:51:21.884]  And they're training police and military across the country to come forcibly take you off your land when you refuse.
[00:51:23.723 --> 00:51:26.764]  Baby, baby.
[00:51:26.764 --> 00:51:29.626]  I mean, I don't know what to say.
[00:51:29.626 --> 00:51:32.767]  The good news is they can't hide this much longer.
[00:51:32.767 --> 00:51:33.808]  This is so big.
[00:51:33.808 --> 00:51:35.028]  The battle is about to be joined.
[00:51:35.028 --> 00:51:39.930]  It's here.
[00:51:39.930 --> 00:51:45.073]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:45.073 --> 00:51:52.716]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:53.399 --> 00:52:00.862]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:52:00.862 --> 00:52:12.587]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police fortune, the latest 9-11 information, and much, much more.
[00:52:12.587 --> 00:52:16.569]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:52:16.569 --> 00:52:18.810]  It's an anthology of government crimes.
[00:52:18.810 --> 00:52:22.592]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:23.253 --> 00:52:30.727]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:36.058 --> 00:52:40.861]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:52:40.861 --> 00:52:45.484]  It provides you with purified water, light, power, and communications ability.
[00:52:45.484 --> 00:52:59.754]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:52:59.754 --> 00:53:05.858]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water,
[00:53:06.178 --> 00:53:22.912]  Long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications, get the one-stop solution for your emergency and everyday needs.
[00:53:22.912 --> 00:53:24.333]  The Berkey Security Pack.
[00:53:24.333 --> 00:53:27.116]  A retail value of $518 for only $399 by calling New Millennium at 888-803-4438.
[00:53:27.116 --> 00:53:27.816]  Not yet available in Iowa.
[00:53:35.737 --> 00:53:41.678]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:53:41.678 --> 00:53:47.299]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:53:47.299 --> 00:53:54.921]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[00:53:54.921 --> 00:54:01.982]  While online, sign up to receive the Herbal Healer Newsletter, which will keep you informed on the latest and greatest products and education.
[00:54:02.242 --> 00:54:14.430]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[00:54:14.430 --> 00:54:17.733]  Want to learn more for yourself and to help others in the future?
[00:54:17.733 --> 00:54:20.234]  Join the Herbal Healer Correspondence Program.
[00:54:20.234 --> 00:54:23.317]  You can work at your own pace from the comfort of your own home.
[00:54:23.317 --> 00:54:27.439]  This accredited, exciting program can help you gain skills and knowledge.
[00:54:27.439 --> 00:54:29.741]  Can you believe you can find all this at one stop?
[00:54:29.981 --> 00:54:46.365]  HerbalHealer.com celebrating 18 years of dedication.
[00:54:46.365 --> 00:54:51.066]  If it keeps on raining, love is gonna break.
[00:54:51.066 --> 00:54:55.067]  When the levy breaks, I have no place to stay.
[00:54:57.162 --> 00:54:58.823]  Going down.
[00:54:58.823 --> 00:55:00.564]  Going down now.
[00:55:00.564 --> 00:55:03.906]  Going down.
[00:55:03.906 --> 00:55:05.748]  Down to Chicago.
[00:55:05.748 --> 00:55:12.972]  I'll tell you what's going to happen.
[00:55:12.972 --> 00:55:15.534]  They're going to keep running the New World Order right straight in the ground.
[00:55:15.534 --> 00:55:20.817]  Oh man.
[00:55:20.817 --> 00:55:23.179]  I just can't wait to bring these people to justice.
[00:55:25.813 --> 00:55:31.582]  Somebody emailed me yesterday, and they were concerned that I talked about killing a grizzly bear.
[00:55:31.582 --> 00:55:34.787]  It was all an analogy, or analogous.
[00:55:34.787 --> 00:55:36.370]  It was like a stupid parable.
[00:55:37.941 --> 00:55:40.704]  I mean, I overdo it a bit.
[00:55:40.704 --> 00:55:47.570]  I was saying, I have an instinctive... I see the New World Order threatening me at an instinctive level like a grizzly bear.
[00:55:47.570 --> 00:55:51.653]  You know, grizzly bears coming after me, I would try to evade it or kill it.
[00:55:51.653 --> 00:55:54.936]  Just like I want to, quote, kill the New World Order.
[00:55:54.936 --> 00:55:59.941]  And that's not a call for violence against grizzly bears or the New World Order.
[00:55:59.941 --> 00:56:05.025]  I'm saying my instinctive drive is to fight against it.
[00:56:07.509 --> 00:56:08.430]  That's all I'm saying.
[00:56:08.430 --> 00:56:11.092]  I mean, we have a group.
[00:56:11.092 --> 00:56:12.232]  I mean, it's simple.
[00:56:12.232 --> 00:56:13.253]  I'm an average person.
[00:56:13.253 --> 00:56:15.314]  I'm not that smart.
[00:56:15.314 --> 00:56:23.140]  Twelve years ago... Well, I guess it's only fourteen years ago I learned of it, but twelve years ago I got involved.
[00:56:23.140 --> 00:56:24.181]  Well, let's be technical.
[00:56:24.181 --> 00:56:27.683]  I was involved before that, but it doesn't matter.
[00:56:27.683 --> 00:56:30.525]  That there was a plan to destroy my country.
[00:56:31.585 --> 00:56:34.086]  And I didn't hear it from some good old boy.
[00:56:34.086 --> 00:56:38.067]  I mean, I got it directly from the Globalist's own documents.
[00:56:38.067 --> 00:56:39.967]  And I said, gee, I'm not for that.
[00:56:39.967 --> 00:56:42.448]  I'd better fight it.
[00:56:42.448 --> 00:56:44.628]  And then I'd talk about it, and people would call me a kook.
[00:56:44.628 --> 00:56:50.770]  So I said, well, I'll just get into the media, and I'll present my facts, and I'll show them.
[00:56:50.770 --> 00:56:51.170]  And you know what?
[00:56:51.170 --> 00:56:53.590]  We have shown them.
[00:56:53.590 --> 00:56:55.031]  But that isn't what this is all about.
[00:56:55.031 --> 00:57:00.412]  It's about showing them so they can then get involved themselves and try to save the country.
[00:57:03.755 --> 00:57:08.797]  No, you don't save the country by saving its borders or its sovereignty or its Bill of Rights.
[00:57:08.797 --> 00:57:14.259]  You save it by invading Iran!
[00:57:14.259 --> 00:57:20.281]  No, you've got it turned around backwards there, my friend.
[00:57:20.281 --> 00:57:24.602]  And you need to figure that out, how you've been scammed.
[00:57:24.602 --> 00:57:33.065]  A few plugs here at the end of this hour, then we've got our guests coming up, then we'll have open phones from the bottom of this hour coming up through the end of the transmission.
[00:57:34.329 --> 00:57:39.433]  I have a free podcast of the show.
[00:57:39.433 --> 00:57:41.815]  You just subscribe to it for free at InfoWars.com.
[00:57:41.815 --> 00:57:53.144]  Just click subscribe into your RealPlayer, into your podcasting system, into your MP3 or iPod, and you can get the three hours every day.
[00:57:53.144 --> 00:57:57.747]  Listen to it how you want, when you want, where you want, or we continually stream 24 hours a day.
[00:57:57.747 --> 00:58:01.791]  Every hour of the show is re-aired as soon as the broadcast ends.
[00:58:01.791 --> 00:58:03.552]  Continual 24 hour a day streaming.
[00:58:04.338 --> 00:58:06.760]  Tune in whenever you want, when you want.
[00:58:06.760 --> 00:58:19.769]  And also, I want to plug 95.7, a new micro-FM that the great folks at Radio Free Austin put up in Dallas, covering all of Central Dallas.
[00:58:19.769 --> 00:58:20.510]  Yes, 95.7.
[00:58:20.510 --> 00:58:29.176]  If you live in Dallas, please tune it in and tell everybody you know about 95.7.
[00:58:29.176 --> 00:58:33.279]  Micro-FM, such an important part of the fight against the New World Order.
[00:58:35.069 --> 00:58:40.151]  Now, uh, and in closing for this hour, I have made 15 films.
[00:58:40.151 --> 00:58:43.872]  The newest is Terror Storm, the history of government-sponsored terror.
[00:58:43.872 --> 00:58:45.733]  It exposes the murderers that carried out 9-11.
[00:58:45.733 --> 00:58:50.074]  We need to bring them to justice, and I want you to get the video and make copies of it.
[00:58:50.074 --> 00:58:52.595]  Aggressively.
[00:58:52.595 --> 00:58:55.636]  With love for your family and hatred for the globalists.
[00:58:55.636 --> 00:58:58.737]  I want you to get it and militarily make copies.
[00:58:58.737 --> 00:58:59.577]  Smash them.
[00:58:59.577 --> 00:59:00.298]  Crush them.
[00:59:00.298 --> 00:59:01.958]  Never stop.
[00:59:01.958 --> 00:59:03.379]  Never stop.
[00:59:03.379 --> 00:59:04.419]  We are never gonna stop.
[00:59:04.972 --> 00:59:06.513]  They can kill us individually.
[00:59:06.513 --> 00:59:09.696]  They cannot kill the idea of liberty and freedom that God gave us.
[00:59:09.696 --> 00:59:12.818]  So get my videos at Infowars.com.
[00:59:12.818 --> 00:59:15.800]  Stay with us.
[00:59:15.800 --> 00:59:20.384]  Copies of the preceding broadcast are available at GCNlive.com or call toll-free 877-376-45.
[00:59:26.425 --> 00:59:29.646]  Are terrorist cells or prime terror targets located near you?
[00:59:29.646 --> 00:59:32.747]  Where are military bases and hazardous waste sites located?
[00:59:32.747 --> 00:59:39.309]  How do you find the best area for solar, average rainfall, fish contamination advisories, and major transportation routes?
[00:59:39.309 --> 00:59:46.812]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:59:46.812 --> 00:59:50.853]  Find everything from housing prices and taxes to brewing environmental catastrophe.
[00:59:51.173 --> 00:59:56.916]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:59:56.916 --> 01:00:07.101]  Complete with over 1,000 plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[01:00:07.101 --> 01:00:15.746]  Get this hard-to-find information by ordering Fruit and Places USA now for only $29 plus shipping and handling by calling New Millennium at 888-803-4438.
[01:00:18.667 --> 01:00:25.531]  Or order on the web at Berkeywater.com.
[01:00:25.531 --> 01:00:27.932]  Waging war on corruption.
[01:00:27.932 --> 01:00:30.694]  Alex Jones on the GCN Radio Network.
[01:00:37.421 --> 01:00:38.742]  Big Brother.
[01:00:38.742 --> 01:00:40.503]  Mainstream media.
[01:00:40.503 --> 01:00:42.263]  Government cover-ups.
[01:00:42.263 --> 01:00:43.844]  You want answers?
[01:00:43.844 --> 01:00:44.765]  Well, so does he.
[01:00:44.765 --> 01:00:49.587]  He's Alex Jones on the GCN Radio Network.
[01:00:49.587 --> 01:00:53.669]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.885 --> 01:01:00.686]  Waging war on corruption, crashing the lies and disinformation.
[01:01:00.686 --> 01:01:06.588]  The United States has been seized by a global corporate crime cartel called the New World Order.
[01:01:06.588 --> 01:01:09.669]  We just played Lou Dobbs last hour telling you that.
[01:01:09.669 --> 01:01:11.710]  We've been reporting them for over a decade here.
[01:01:11.710 --> 01:01:16.251]  They lied us premeditatively into war against Iraq.
[01:01:16.251 --> 01:01:19.052]  And like Hitler turning east, they now want to go into Iran.
[01:01:19.855 --> 01:01:23.038]  The torture, the murder, the secret police, all by design.
[01:01:23.038 --> 01:01:26.881]  They meant Iraq to be a quagmire as a pretext to build permanent bases there.
[01:01:26.881 --> 01:01:29.583]  It's all in official, published Pentagon documents.
[01:01:29.583 --> 01:01:30.744]  It's sick!
[01:01:30.744 --> 01:01:34.067]  And they have the nerve to tell our troops, you'll be back in time for Christmas.
[01:01:34.067 --> 01:01:38.151]  We're only going to be there six months when they plan to be there at least 30 years.
[01:01:38.151 --> 01:01:39.732]  And now top generals have been saying that.
[01:01:40.780 --> 01:01:41.822]  It's just unbelievable.
[01:01:41.822 --> 01:01:44.044]  Your call is coming up in about 20 minutes.
[01:01:44.044 --> 01:01:44.805]  1-800-259-9231.
[01:01:44.805 --> 01:01:52.816]  Later, I'm going to air this clip of O'Reilly and just illustrate the low-grade lies he puts out.
[01:01:52.816 --> 01:01:54.958]  But we are joined by Robert Wattata.
[01:01:54.958 --> 01:01:58.503]  His son is Lieutenant Aaron Wattata.
[01:01:59.179 --> 01:02:01.241]  And he's being court-martialed.
[01:02:01.241 --> 01:02:06.264]  He's on record why he's refusing to go back to Iraq.
[01:02:06.264 --> 01:02:14.931]  He's on record why the war is illegal, how we've all been lied to, how this is an immoral, improper war.
[01:02:14.931 --> 01:02:21.936]  And his father is very well spoken, and I'm told is somewhat of an anti-corruption crusader in his own right, in Hawaii.
[01:02:21.936 --> 01:02:24.658]  So, Mr. Watada, thank you for coming on with us.
[01:02:24.658 --> 01:02:26.319]  Thank you very much for inviting me, Alex.
[01:02:27.276 --> 01:02:28.517]  You bet.
[01:02:28.517 --> 01:02:40.043]  In a nutshell, tell us about yourself, your son, what's happening, how you got to this point, and then let's come back, because we're about to break in a few minutes, and then break down what's currently happening.
[01:02:40.043 --> 01:02:54.851]  Okay, just a little bit about myself, Alex, is that in the Vietnam War, I don't know if we can call it a war, it was a slaughter, that the Americans perpetrated on the Vietnamese, Cambodians, and Laotians.
[01:02:55.279 --> 01:03:07.101]  I was just getting out of college at that time and I refused to participate in that war because I just felt it was just completely wrong.
[01:03:07.101 --> 01:03:09.322]  It was completely unjust.
[01:03:09.322 --> 01:03:15.723]  And of course I went to the Peace Corps and I later went on to college to maintain a student deferment.
[01:03:15.723 --> 01:03:19.003]  But on to my son.
[01:03:19.003 --> 01:03:21.424]  My son joined the Army in early 2003.
[01:03:23.528 --> 01:03:34.777]  Uh, based upon the call by the President that there were terrorists all across the country, uh, that people had needed to, uh, you know, join the military to defend our country.
[01:03:34.777 --> 01:03:38.100]  So your son, in a well-meaning way, bought into the propaganda?
[01:03:38.100 --> 01:03:41.262]  He bought into the propaganda.
[01:03:41.262 --> 01:03:47.947]  Um, sorry to say, but I try to convince him otherwise, but, you know, young people are young people, and he made up his own mind.
[01:03:47.947 --> 01:03:50.289]  That's why they target 18-year-olds.
[01:03:50.289 --> 01:03:50.810]  That's right.
[01:03:53.208 --> 01:03:58.669]  They, you know, they don't think and they don't read a whole lot.
[01:03:58.669 --> 01:04:02.550]  But unfortunately, my son did join.
[01:04:02.550 --> 01:04:03.990]  It was for patriotic reasons.
[01:04:03.990 --> 01:04:06.651]  It was to defend our country.
[01:04:06.651 --> 01:04:16.373]  And it was sad, of course, that he did go into the army and he later became an officer and was deployed to Korea for a year.
[01:04:16.373 --> 01:04:21.034]  So he wasn't too familiar with what was going on in Iraq because he was in Korea.
[01:04:22.535 --> 01:04:26.057]  Which is a war zone, by the way.
[01:04:26.057 --> 01:04:40.866]  And then he was brought back to the United States and he went to Fort Lewis, Washington, where he was assigned to a Stryker Brigade in the middle of 2005.
[01:04:40.866 --> 01:04:48.410]  It was at this point that he began studying all about what was happening in Iraq, all the wars, you know, the battles and so forth.
[01:04:49.205 --> 01:04:54.910]  And he was also hearing from people who had been in Iraq, you know, soldiers and coming back.
[01:04:54.910 --> 01:04:58.674]  And sadly, some of those never came back.
[01:04:58.674 --> 01:05:03.378]  And, you know, he had to get a deal with the grief of some of the families.
[01:05:03.378 --> 01:05:13.167]  It was at this point that he began realizing that our president wholesale lied to the country, lied to
[01:05:15.615 --> 01:05:18.457]  You know, the military- Stay there, Mr. Wattata.
[01:05:18.457 --> 01:05:25.261]  We'll talk about your son, what's happening to him with the court-martialing on the other side of this quick break.
[01:05:25.261 --> 01:05:27.283]  And they're talking about a national draft, folks.
[01:05:27.283 --> 01:05:28.604]  They're pushing it big time.
[01:05:28.604 --> 01:05:30.505]  When will they come for your sons and daughters?
[01:05:36.107 --> 01:05:39.652]  It's here, after a year in production and traveling to distant lands.
[01:05:39.652 --> 01:05:41.956]  My new film Terror Storm is complete.
[01:05:41.956 --> 01:05:49.607]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:50.276 --> 01:05:57.740]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:57.740 --> 01:06:09.465]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:06:09.465 --> 01:06:13.447]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:06:13.447 --> 01:06:15.688]  It's an anthology of government crimes.
[01:06:15.688 --> 01:06:19.530]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:20.130 --> 01:06:27.596]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:06:33.064 --> 01:06:33.985]  Terrorism.
[01:06:33.985 --> 01:06:34.845]  Terrorism.
[01:06:34.845 --> 01:06:41.170]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic.
[01:06:41.170 --> 01:06:43.011]  Alarming words for our time.
[01:06:43.011 --> 01:06:45.873]  But how do you protect your family during such a crisis?
[01:06:45.873 --> 01:07:00.462]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[01:07:00.462 --> 01:07:00.963]  government.
[01:07:00.963 --> 01:07:02.704]  Anyone can follow the simple instructions.
[01:07:02.924 --> 01:07:09.189]  Yes, it's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[01:07:09.189 --> 01:07:13.932]  If you're not the type who waits till it's too late, then you need the video Sheltering in Place.
[01:07:13.932 --> 01:07:19.676]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:07:19.676 --> 01:07:21.598]  And tell them Alex Jones sent you at 888-803-4438.
[01:07:21.598 --> 01:07:23.359]  Or order on the web at murkywater.com.
[01:07:32.561 --> 01:07:34.944]  Attention, attention everyone!
[01:07:34.944 --> 01:07:37.567]  A brand new invention just released.
[01:07:37.567 --> 01:07:42.272]  It's called Wristease, the new patented portable ergonomic wrist support.
[01:07:42.930 --> 01:07:50.296]  Wristease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[01:07:50.296 --> 01:08:03.627]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, Wristease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[01:08:03.627 --> 01:08:07.590]  Wristease is perfect for children doing homework or playing video games.
[01:08:08.050 --> 01:08:18.515]  Wristease provides the proper comfort and support for all ages and Wristease provides comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[01:08:18.515 --> 01:08:21.917]  You can order Wristease now at Wristease.com.
[01:08:21.917 --> 01:08:23.557]  That's Wristease.
[01:08:23.557 --> 01:08:28.680]  W-R-I-S-T-E-A-S-E Wristease.com.
[01:08:28.680 --> 01:08:30.541]  Once again, Wristease.com.
[01:08:33.222 --> 01:08:44.926]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[01:08:44.926 --> 01:08:46.507]  Her station is just joining us.
[01:08:46.507 --> 01:08:55.570]  We're talking to the father of Lieutenant Aaron Wattanabe, Robert Wattanabe.
[01:08:55.570 --> 01:08:57.431]  And this young man joined the military.
[01:08:57.431 --> 01:08:58.651]  He was in for a few years.
[01:08:58.651 --> 01:08:59.691]  He heard the call in 2003.
[01:09:02.751 --> 01:09:12.779]  He was in, for stations that just joined us, recapping, he was there in the demilitarized zone, there in South Korea.
[01:09:12.779 --> 01:09:14.441]  Then he was sent back to the U.S.
[01:09:14.441 --> 01:09:17.463]  for talking to troops that were coming back about how horrible it was.
[01:09:17.463 --> 01:09:18.504]  And I want to add this.
[01:09:18.504 --> 01:09:20.265]  I'm right here in Austin, Texas.
[01:09:20.265 --> 01:09:21.786]  There's military bases all around me.
[01:09:21.786 --> 01:09:23.428]  I have family in the military.
[01:09:23.428 --> 01:09:24.809]  I talk to people in the military.
[01:09:25.658 --> 01:09:36.745]  And I'd say about 85% of them hate the war, say it's all lies, know it's a joke, know it's a fraud, know it's all a big Halliburton profit operation.
[01:09:36.745 --> 01:09:37.446]  Okay?
[01:09:37.446 --> 01:09:40.688]  They know that, they understand that.
[01:09:40.688 --> 01:09:50.114]  Now, I do have one person in my family who just has been in the military for 20 years, and if they said jump off a cliff, he'd do it.
[01:09:50.114 --> 01:09:53.876]  And he's a smart guy, but it's willful, you know, cult member behavior.
[01:09:55.007 --> 01:09:58.049]  And this is what happens to people.
[01:09:58.049 --> 01:10:00.810]  But this is not the John Wayne military, okay?
[01:10:00.810 --> 01:10:02.952]  This is not Iwo Jima.
[01:10:02.952 --> 01:10:05.553]  This is not the Sands of Normandy.
[01:10:05.553 --> 01:10:09.395]  This is pure wickedness.
[01:10:09.395 --> 01:10:15.659]  And again, when you read the Israeli plan in 1983 to break the country up into three parts of endless war, they want civil war.
[01:10:15.659 --> 01:10:16.219]  You read the 2002 U.S.
[01:10:16.219 --> 01:10:16.639]  military plan,
[01:10:18.644 --> 01:10:22.246]  There is no doubt that mission has been accomplished.
[01:10:22.246 --> 01:10:25.528]  That's death, destruction, huge profits, endless war.
[01:10:25.528 --> 01:10:30.951]  That's why they disbanded the Iraqi military and security forces when all the experts said it'll make it break down.
[01:10:30.951 --> 01:10:33.332]  They said, of course, we want an excuse to stay there.
[01:10:33.332 --> 01:10:38.255]  You've got to realize how cynical and Machiavellian these people are.
[01:10:38.255 --> 01:10:40.957]  Alright, going back to Robert Wattada.
[01:10:40.957 --> 01:10:44.138]  So your son, it's mid-2005, he's back at a U.S.
[01:10:44.138 --> 01:10:46.560]  base inside the U.S.
[01:10:47.527 --> 01:10:50.090]  And he starts to do research, he starts to learn.
[01:10:50.090 --> 01:10:51.852]  I would imagine you said he started to wake up.
[01:10:51.852 --> 01:10:59.499]  Did he see the White House memo where Bush and Blair meet and they talk about how to stage WMD fines and how to lie to the people?
[01:10:59.499 --> 01:11:03.403]  Or did he hear about how they faked the Yellow Cake document from Niger?
[01:11:03.403 --> 01:11:04.464]  Or did he learn about
[01:11:04.884 --> 01:11:06.044]  Yes, that's actually what happened, Alex.
[01:11:29.750 --> 01:11:48.477]  Of course, he's in Fort Lewis, Washington, and I'm in Hawaii, and we're talking, and he's telling me all of these, all of his hearings, and he's reading about one document you can look at is the State of the Union message that Bush gave in January 2003, where he details these lies.
[01:11:48.477 --> 01:11:53.559]  And anybody that says that they're not lies doesn't understand the English language.
[01:11:53.559 --> 01:11:57.841]  But, you know, it was when I read that document, and then I read other documents such as
[01:11:58.362 --> 01:12:05.265]  What Ray McGovern was saying is that all these things about the weapons of mass destruction were fabricated.
[01:12:05.265 --> 01:12:07.406]  They were made up.
[01:12:07.406 --> 01:12:10.288]  There was no truth at all to them.
[01:12:10.288 --> 01:12:14.050]  And yet this is what the Bush administration used to go to war.
[01:12:14.050 --> 01:12:20.773]  You know, they said there was a connection between 9-11 and Saddam Hussein.
[01:12:20.773 --> 01:12:21.933]  None whatsoever.
[01:12:21.933 --> 01:12:24.074]  Of course, you know, that's been proven to be the truth.
[01:12:24.074 --> 01:12:25.095]  There was none whatsoever.
[01:12:25.754 --> 01:12:37.138]  What really broke my son's back is, this is what I'll tell you, is seeing what's happening to the soldiers coming back.
[01:12:37.138 --> 01:12:53.663]  He's not only seeing the soldiers that are not coming back, but he's also, you know, reading about these soldiers that are dying over there, the soldiers that are coming back with serious PTSD, and he's just asking himself, you know, what
